DICDNet Image Quality Evaluation by Metal Size
Date: 2025-05-12 13:01:05
Results Directory: /home/mcosta/PycharmProjects/DICDNet/DICDNet/save_results
Model Evaluated: DICDNet
Total GT files found: 2000
Total files processed and metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.55 ± 3.49         0.9770 ± 0.0054       27.34 ± 1.51         0.9432 ± 0.0132
Large-Med   ({688, 1329}px)     400       38.48 ± 3.28         0.9848 ± 0.0033       30.30 ± 1.94         0.9624 ± 0.0093
Medium      ({182, 371}px)      400       42.10 ± 3.67         0.9896 ± 0.0021       33.11 ± 1.70         0.9700 ± 0.0066
Med-Small   ({171, 180}px)      400       44.74 ± 2.75         0.9914 ± 0.0021       35.49 ± 2.15         0.9736 ± 0.0073
Small       ({54, 84}px)        400       45.35 ± 2.26         0.9919 ± 0.0016       35.98 ± 1.32         0.9746 ± 0.0064
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all processed files) ---
PSNR(img): 41.25 ± 4.88 (from 2000 images)
SSIM(img): 0.9869 ± 0.0064
PSNR(hu):  32.44 ± 3.69
SSIM(hu):  0.9648 ± 0.0146

--- Individual File Metrics Log ---
Filename            Prefix     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
152_gt_image.png    152              1      1338      G5       35.18      0.9779       27.23      0.9415
153_gt_image.png    153              2       688      G4       37.93      0.9832       28.41      0.9517
154_gt_image.png    154              3        84      G1       45.33      0.9908       35.43      0.9655
155_gt_image.png    155              4       171      G2       43.98      0.9915       35.96      0.9684
156_gt_image.png    156              5        54      G1       44.54      0.9917       35.73      0.9698
157_gt_image.png    157              6      1329      G4       42.55      0.9852       33.70      0.9632
158_gt_image.png    158              7      3119      G5       35.93      0.9743       28.31      0.9314
159_gt_image.png    159              8       182      G3       42.76      0.9894       33.64      0.9617
160_gt_image.png    160              9       180      G2       41.75      0.9871       31.10      0.9562
161_gt_image.png    161              0       371      G3       38.43      0.9871       32.32      0.9644
162_gt_image.png    162              1      1338      G5       36.28      0.9779       28.27      0.9418
163_gt_image.png    163              2       688      G4       38.11      0.9835       29.27      0.9539
164_gt_image.png    164              3        84      G1       44.50      0.9896       36.19      0.9688
165_gt_image.png    165              4       171      G2       44.77      0.9906       35.03      0.9695
166_gt_image.png    166              5        54      G1       47.19      0.9913       36.65      0.9691
167_gt_image.png    167              6      1329      G4       37.55      0.9817       33.20      0.9615
168_gt_image.png    168              7      3119      G5       33.10      0.9673       29.72      0.9375
169_gt_image.png    169              8       182      G3       40.59      0.9873       33.26      0.9638
170_gt_image.png    170              9       180      G2       39.78      0.9875       32.56      0.9629
171_gt_image.png    171              0       371      G3       28.21      0.9819       32.03      0.9713
172_gt_image.png    172              1      1338      G5       31.47      0.9785       27.89      0.9519
173_gt_image.png    173              2       688      G4       33.64      0.9843       30.40      0.9646
174_gt_image.png    174              3        84      G1       47.73      0.9922       37.18      0.9747
175_gt_image.png    175              4       171      G2       45.56      0.9919       37.33      0.9792
176_gt_image.png    176              5        54      G1       48.71      0.9929       37.13      0.9788
177_gt_image.png    177              6      1329      G4       38.35      0.9856       30.20      0.9631
178_gt_image.png    178              7      3119      G5       37.60      0.9773       27.83      0.9390
179_gt_image.png    179              8       182      G3       46.13      0.9907       35.64      0.9733
180_gt_image.png    180              9       180      G2       44.16      0.9897       34.55      0.9717
181_gt_image.png    181              0       371      G3       33.06      0.9872       30.19      0.9701
182_gt_image.png    182              1      1338      G5       38.24      0.9823       27.55      0.9482
183_gt_image.png    183              2       688      G4       38.24      0.9865       31.09      0.9627
184_gt_image.png    184              3        84      G1       49.13      0.9932       38.44      0.9766
185_gt_image.png    185              4       171      G2       48.42      0.9931       38.25      0.9791
186_gt_image.png    186              5        54      G1       49.29      0.9935       38.61      0.9779
187_gt_image.png    187              6      1329      G4       39.50      0.9869       31.15      0.9631
188_gt_image.png    188              7      3119      G5       40.05      0.9780       29.50      0.9422
189_gt_image.png    189              8       182      G3       46.83      0.9919       36.37      0.9728
190_gt_image.png    190              9       180      G2       46.16      0.9920       37.21      0.9738
191_gt_image.png    191              0       371      G3       38.23      0.9896       33.42      0.9674
192_gt_image.png    192              1      1338      G5       22.39      0.9583       28.23      0.9460
193_gt_image.png    193              2       688      G4       28.17      0.9784       31.54      0.9594
194_gt_image.png    194              3        84      G1       42.72      0.9903       35.56      0.9674
195_gt_image.png    195              4       171      G2       45.16      0.9916       37.25      0.9743
196_gt_image.png    196              5        54      G1       46.96      0.9912       35.84      0.9720
197_gt_image.png    197              6      1329      G4       40.26      0.9858       29.43      0.9577
198_gt_image.png    198              7      3119      G5       37.42      0.9774       26.17      0.9312
199_gt_image.png    199              8       182      G3       43.43      0.9886       34.26      0.9671
200_gt_image.png    200              9       180      G2       40.81      0.9878       34.08      0.9664
201_gt_image.png    201              0       371      G3       43.30      0.9911       34.98      0.9690
202_gt_image.png    202              1      1338      G5       31.75      0.9828       29.49      0.9490
203_gt_image.png    203              2       688      G4       27.38      0.9778       29.51      0.9588
204_gt_image.png    204              3        84      G1       46.85      0.9922       35.26      0.9695
205_gt_image.png    205              4       171      G2       47.53      0.9938       37.91      0.9744
206_gt_image.png    206              5        54      G1       46.73      0.9928       35.75      0.9735
207_gt_image.png    207              6      1329      G4       41.55      0.9891       30.31      0.9613
208_gt_image.png    208              7      3119      G5       39.48      0.9834       27.17      0.9361
209_gt_image.png    209              8       182      G3       45.57      0.9911       33.25      0.9676
